How long will it take to drive from Chicago to Mississippi	How long will it take to drive from Chicago to Mississippi	[IN:GET_ESTIMATED_DURATION How long will it take to [SL:METHOD_TRAVEL drive ] from [SL:SOURCE Chicago ] to [SL:DESTINATION Mississippi ] ]
Will it take shorter to get to the White House by bus or taxi?	Will it take shorter to get to the White House by bus or taxi ?	[IN:UNSUPPORTED_NAVIGATION Will it take shorter to get to the White House by bus or taxi ? ]
will I make it to the beach by noon if I leave now	will I make it to the beach by noon if I leave now	[IN:GET_ESTIMATED_ARRIVAL will I make it to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the beach ] ] ] [SL:DATE_TIME_ARRIVAL by noon ] if I leave [SL:DATE_TIME_DEPARTURE now ] ]
When should I leave my house to get to the Hamilton Mall right when it opens on Saturday	When should I leave my house to get to the Hamilton Mall right when it opens on Saturday	[IN:GET_ESTIMATED_DEPARTURE When should I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] to get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Hamilton Mall ] ] ] [SL:DATE_TIME_ARRIVAL right when it opens on Saturday ] ]
I need to know if there's a lot of traffic on my way home	I need to know if there 's a lot of traffic on my way home	[IN:GET_INFO_TRAFFIC I need to know if there 's a lot of traffic on my way [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
What is the shortest way home	What is the shortest way home	[IN:GET_DIRECTIONS What is the shortest way [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
how long will it take me to drive to fort collins	how long will it take me to drive to fort collins	[IN:GET_ESTIMATED_DURATION how long will it take me to [SL:METHOD_TRAVEL drive ] to [SL:DESTINATION fort collins ] ]
how long would it take to ride a bus to jeddah from madina travelling at 8AM?	how long would it take to ride a bus to jeddah from madina travelling at 8AM ?	[IN:GET_ESTIMATED_DURATION how long would it take to ride a [SL:METHOD_TRAVEL bus ] to [SL:DESTINATION jeddah ] from [SL:SOURCE madina ] travelling [SL:DATE_TIME_DEPARTURE at 8AM ] ? ]
Can you tell me what is happening at Liberty Science Center	Can you tell me what is happening at Liberty Science Center	[IN:GET_EVENT Can you tell me what is happening at [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP Liberty Science Center ] ] ] ]
traffic to Midway Airport	traffic to Midway Airport	[IN:GET_INFO_TRAFFIC traffic to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Midway Airport ] ] ] ]
IS THERE TRAFFIC CONGESTION ON THE VERRAZZANO BRIDGE  ON THE WAY TO BROOKLYN	IS THERE TRAFFIC CONGESTION ON THE VERRAZZANO BRIDGE ON THE WAY TO BROOKLYN	[IN:GET_INFO_TRAFFIC IS THERE TRAFFIC CONGESTION ON [SL:PATH [IN:GET_LOCATION [SL:POINT_ON_MAP THE VERRAZZANO BRIDGE ] ] ] ON THE WAY TO [SL:DESTINATION BROOKLYN ] ]
Music events in Minneapolis this weekend	Music events in Minneapolis this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT Music events ] in [SL:LOCATION Minneapolis ] [SL:DATE_TIME this weekend ] ]
What's the best route to take to the portland airport	What 's the best route to take to the portland airport	[IN:GET_DIRECTIONS What 's the best route to take to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the portland airport ] ] ] ]
Is there any traffic if I drive to St George today	Is there any traffic if I drive to St George today	[IN:GET_INFO_TRAFFIC Is there any traffic if I [SL:METHOD_TRAVEL drive ] to [SL:DESTINATION St George ] [SL:DATE_TIME today ] ]
How is traffic heading to Dad's house	How is traffic heading to Dad 's house	[IN:GET_INFO_TRAFFIC How is traffic heading to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION Dad ] 's house ] ] ]
whats happening in san francisco tonight	whats happening in san francisco tonight	[IN:GET_EVENT whats happening in [SL:LOCATION san francisco ] [SL:DATE_TIME tonight ] ]
Are there downed power lines on freemont ave that might make me late to the movie?	Are there downed power lines on freemont ave that might make me late to the movie ?	[IN:GET_INFO_TRAFFIC Are there downed power lines on [SL:LOCATION freemont ave ] that might make me late to the movie ? ]
What shows are playing at the House of Blues we his week	What shows are playing at the House of Blues we his week	[IN:GET_EVENT What [SL:CATEGORY_EVENT shows ] are playing at [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP the House of Blues ] ] ] we [SL:DATE_TIME his week ] ]
If I take off now what time should I arrive at Fenway Park?	If I take off now what time should I arrive at Fenway Park ?	[IN:GET_ESTIMATED_ARRIVAL If I take off [SL:DATE_TIME_DEPARTURE now ] what time should I arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Fenway Park ] ] ] ? ]
How many hours is it drive time between Knoxville and Memphis?	How many hours is it drive time between Knoxville and Memphis ?	[IN:GET_ESTIMATED_DURATION How many hours is it [SL:METHOD_TRAVEL drive ] time between [SL:SOURCE Knoxville ] and [SL:DESTINATION Memphis ] ? ]
best way to reach work today	best way to reach work today	[IN:GET_DIRECTIONS best way to reach [SL:DESTINATION [IN:GET_LOCATION_WORK work ] ] [SL:DATE_TIME_DEPARTURE today ] ]
